sql,o1,o2,o3,n1,n2,n3
2,0.029,0.022,0.020,0.029,0.034,0.019
3,0.023,0.023,0.021,0.025,0.026,0.024
4,0.070,0.024,0.020,0.048,0.019,0.017
5,3.846,3.915,4.065,0.592,0.563,0.610
6,1.149,1.213,1.529,0.756,0.771,0.762
7,0.066,0.017,0.014,0.038,0.013,0.012
8,0.040,0.022,0.023,0.019,0.017,0.022
9,0.948,0.953,0.847,0.477,0.475,0.473
10,0.952,0.938,0.914,0.804,0.743,0.764
11,0.203,0.192,0.256,0.149,0.148,0.146
12,0.288,0.214,0.208,0.142,0.145,0.145
13,0.567,0.565,0.565,0.462,0.467,0.460
14,0.949,0.986,0.894,0.795,0.787,0.772
15,0.585,0.590,0.596,0.494,0.492,0.520
16,0.329,0.333,0.348,0.293,0.321,0.336
17,1.522,1.260,1.260,1.076,1.147,1.053
18,0.531,0.619,0.625,0.980,1.041,1.035
19,2.448,2.600,2.586,1.803,1.773,1.892
20,0.038,0.027,0.032,0.020,0.021,0.015
21,0.177,0.187,0.185,0.156,0.134,0.151
22,0.237,0.203,0.197,0.194,0.175,0.168
23,0.285,0.257,0.259,0.213,0.199,0.207
24,0.796,0.778,0.770,0.563,0.567,0.561
25,0.068,0.058,0.055,0.044,0.044,0.042
26,0.046,0.046,0.050,0.034,0.034,0.033
27,0.057,0.054,0.057,0.040,0.040,0.043
28,0.197,0.208,0.211,0.164,0.162,0.158
29,1.823,1.833,1.796,1.404,1.444,1.427
30,0.613,0.313,0.309,0.326,0.176,0.165
31,0.230,0.298,0.221,0.199,0.196,0.205
32,0.493,0.523,0.471,0.370,0.278,0.295
33,3.486,2.992,3.002,2.686,3.084,2.850
34,3.800,3.849,4.114,2.922,3.236,3.144
35,3.858,4.028,3.641,3.009,2.976,3.080
36,0.964,0.815,0.757,0.556,0.555,0.526
37,0.257,0.252,0.240,0.189,0.193,0.185
38,0.052,0.042,0.055,0.055,0.042,0.055
39,0.028,0.026,0.034,0.034,0.027,0.028
40,0.625,0.630,0.608,0.441,0.460,0.436
41,0.035,0.031,0.025,0.027,0.028,0.023
42,0.030,0.019,0.021,0.016,0.014,0.013
43,0.027,0.015,0.024,0.020,0.040,0.020
